网页地址,项目位置,面积(公顷),供地方式,行业分类,成交价格(万元),下限,上限,约定交地时间,经度,纬度
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=baffd69f-704a-494d-a21d-faf167f149f8,ZB13#路以东、纬十六路以南、经十四路以西、纬十二路以北,38.0001,挂牌出让,电信和其他信息传输服务业,8347,0.7,0,2017年11月12日,103.693237,36.514286
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=9f5c6b1c-f26b-492a-8274-6ca89d81cdac,ZB2#：西段起点为经十路至经十一路、东段为经十一路至ZB7#；ZB5#：ZB2#西段至纬二路；,3.3271,协议出让,房地产业,698.6875,,,2020年3月4日,116.32,39.845231
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6de9e85a-f6ea-490b-9fc0-b83e8afc04d2,ZB6#路以南、ZB13#路以西、嘉陵江街（纬十二路）以北,4.08919,挂牌出让,建筑安装业,820,0.7,0,2017年9月30日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=53961dbc-a2c0-4e37-8813-959591abc2c5,ZB8#路以南、ZB13#路以西、ZB6#路以北,1.77052,挂牌出让,零售业,417,0.7,0,2017年9月30日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=ceb51df5-4e72-4685-b229-66d4b9345c66,安宁区,5.9486,挂牌出让,房地产业,49140,1,3.5,2020年6月29日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=fc492341-03c3-411b-81f3-54393da99fd6,安宁区，西临B528号规划路，东临T560―1号规划路，北临B579号规划路,1.69803,挂牌出让,房地产业,33210,,10,2020年6月29日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=b1b8cbdb-18df-4181-b095-922a56f07de4,安宁区，西临S556号规划路，东临B528号规划路，北临B579号规划路，南临S583号规划路,2.86748,挂牌出让,房地产业,70060,,6,2020年6月29日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=e722f4cf-dcc6-4eeb-b27d-b3287d09fca8,安宁区512-1号规划路以南、531号规划路以东,2.17402,挂牌出让,房地产业,5034,0,1.5,2016年2月14日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=a7059e9b-d108-4294-afbb-51c576048703,安宁区531号规划路以西、515号规划路以北、T511号规划路以南、大沙沟以东,10.99832,挂牌出让,房地产业,21370.0657,1,3,2015年6月12日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=6f37e4ac-ce1a-4805-80a2-87eca364cd3c,安宁区B575号规划路以南、533号规划路（鑫源路）以东、T550号规划路（莫高大道）以西、T511号规划路以北,10.57671,挂牌出让,房地产业,77190,1,3.5,2016年12月13日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f66f5110-9840-4c82-bfd6-27fe98f83558,安宁区B589号规划路以南、通信路东北侧、安宁运管所以西,1.42343,挂牌出让,房地产业,10130,1,4.5,2015年10月1日,,
https://www.landchina.com/default.aspx?tabid=386&comname=default&wmguid=75c72564-ffd9-426a-954b-8ac2df0903b7&recorderguid=f99d1910-814b-4bdd-be75-84bbf243c465,安宁区S583号规划路以南、B593号规划路以北、S554号规划路以西,6.55248,挂牌出让,房地产业,34530,1,3.5,2014年2月6日,,
